page_type,botify_urls,scorable_urls,excluded_bad_crawl_urls,excluded_bad_crawl_pct,keyword_urls,keyword_urls_matched_botify,keyword_inventory_coverage_pct,keyword_rows,distinct_keywords,avg_current_rank,top3_share_pct,top10_share_pct,top20_share_pct,lost_or_unranked_share_pct,ranking_keywords,keywords_not_top10_share_pct,quick_win_11_20_share_pct,striking_distance_21_50_share_pct,botify_audience_potential_urls,audience_potential_coverage_pct,avg_botify_audience_potential,total_botify_audience_potential,ranking_potential,main_keyword_target_coverage_pct,h1_present_pct,single_h1_pct,h1_main_keyword_match_pct,title_main_keyword_match_pct,meta_main_keyword_match_pct,url_main_keyword_match_pct,index_controls_clear_pct,noindex_pct,self_canonical_pct,sitemap_compliance_pct,canonical_sitemap_compliance_pct,median_inlinks,inlink_target_met_pct,median_outlinks,outlink_target_met_pct,crawl_depth_ok_pct,link_breadcrumb_pct,lcp_measured_pct,lcp_good_pct,cls_measured_pct,cls_good_pct,inp_measured_pct,inp_good_pct,speed_measured_health,speed_scored_urls,speed_coverage_pct,meta,schema,url,h1,index_readiness,links,speed,overall_proxy_excl_ranking_keywords,overall_proxy_incl_ranking_keywords
Browse,5292,4513,779,14.7,2087,1864,39.44,16016,12905,10.2,21.6,48.8,72.3,16.6,65.3,51.2,23.5,11.2,2676,59.3,8.2,21833.0,59.5,42.7,79.1,79.1,94.2,89.6,62.6,71.5,100.0,0.0,59.9,80.1,59.2,33,56.0,344,79.1,90.6,79.1,11.7,97.7,11.9,65.2,0.0,,90.7,537,11.9,62.3,70.0,85.5,75.6,78.0,69.5,90.7,75.9,74.6
HVF,10075,9725,350,3.5,4176,3622,41.45,7693,6601,9.0,23.7,53.9,74.7,17.2,67.1,46.1,20.8,8.1,7192,74.0,1.9,13955.0,50.2,37.2,99.3,99.3,97.9,96.8,82.9,97.9,100.0,0.0,83.5,80.3,79.5,18,64.4,331,99.3,99.4,61.3,0.6,100.0,0.6,64.4,0.0,,88.7,59,0.6,80.4,50.1,93.6,95.8,87.5,79.3,88.7,82.2,80.3
HVSP,498,470,28,5.6,725,299,145.58,1081,955,12.5,13.1,36.7,64.8,19.2,58.6,63.3,28.0,16.0,438,93.2,3.0,1307.0,64.6,63.6,99.8,99.8,99.3,99.3,99.3,99.3,100.0,0.0,99.8,99.8,99.6,53.0,70.9,343.0,99.8,99.8,0.0,0.9,100.0,1.1,100.0,0.0,,100.0,5,1.1,86.3,0.0,99.3,98.9,99.9,75.1,100.0,79.9,77.3
Top Picks,1196,1082,114,9.5,687,679,57.44,3405,3033,14.6,6.7,28.1,57.8,21.4,53.3,71.9,29.7,20.7,1072,99.1,2.3,2500.0,72.6,62.7,99.0,99.0,92.9,82.7,83.3,95.4,100.0,0.0,98.8,99.4,98.3,26.0,59.6,336.0,99.0,100.0,99.0,1.7,100.0,1.8,100.0,0.0,,100.0,19,1.8,91.5,99.0,91.5,95.0,99.3,80.2,100.0,93.8,88.7
PDP,285550,238901,46649,16.3,3644,3468,1.28,5173,3746,12.7,7.6,29.9,56.3,31.7,49.1,70.1,26.4,12.0,104302,43.7,1.3,130464.0,67.4,1.5,99.9,99.8,96.6,93.0,93.0,73.1,100.0,0.0,98.9,92.1,92.0,17,88.3,322,100.0,99.3,99.8,0.9,88.0,0.9,87.9,0.0,,96.0,2126,0.9,86.7,96.3,84.9,97.3,97.2,89.8,96.0,92.6,87.2
Brand,2606,2330,276,10.6,968,960,37.15,2181,1807,11.4,11.1,41.7,68.9,20.3,60.0,58.3,27.2,10.8,2064,88.6,2.3,4787.0,60.0,42.9,99.8,97.7,90.2,89.8,80.7,53.7,100.0,0.0,97.0,96.4,96.3,4.0,40.1,318.0,99.8,99.2,99.8,9.7,100.0,9.7,81.9,0.0,,95.1,227,9.7,81.8,99.8,86.1,96.2,97.7,70.7,95.1,89.6,85.9
Editorial,3866,3013,853,22.1,2098,2090,54.27,9722,8624,13.4,12.0,36.0,63.8,15.9,59.6,64.0,27.8,20.3,2895,96.1,33.7,97441.0,86.9,69.7,97.5,97.5,85.7,78.9,77.6,81.4,100.0,0.0,96.8,97.7,95.3,6,59.0,319,97.5,98.9,7.2,16.5,41.0,16.6,83.4,0.0,,88.0,506,16.8,88.8,90.0,90.9,86.7,98.0,69.5,88.0,87.4,83.9
Deals,702,380,322,45.9,116,24,16.52,319,243,12.2,21.9,35.4,50.5,29.5,52.1,64.6,15.0,20.1,157,41.3,2.0,314.0,54.8,6.3,99.2,98.4,75.0,79.2,50.0,29.2,100.0,0.0,51.1,51.3,50.8,30.0,51.6,342.0,99.7,95.5,99.7,1.6,100.0,1.6,100.0,0.0,,100.0,6,1.6,81.2,99.7,85.6,86.0,65.8,74.9,100.0,84.8,80.7
