page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/pets-first-ncaa-pet-gear_c8487_f1v287461,True,Move important URLs closer to major crawl paths.,7,PETS FIRST NCAA PET GEAR (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Pets First NCAA Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pets First NCAA Pet Gear for your pet.",229,pets first ncaa pet gear,Pets First NCAA Pet Gear,1,pets-first-ncaa-pet-gear,True,True,False,False,True,False,False,False,13,343,7,,,,,,,1,1,2.0,1,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-usa_c3898758_f47v19762766,True,Move important URLs closer to major crawl paths.,7,"USA PET SOCCER JERSEYS, SCARVES, BANDANAS, AND TOYS | CHEWY",59,"Shop USA dog & cat soccer jerseys, scarves, bandanas & toys at Chewy. Find officially licensed FIFA pet fan gear & cheer on The Yanks every match day.",150,,"USA Pet Soccer Jerseys, Scarves, Bandanas, and Toys",1,soccer-usa,True,False,False,False,True,False,False,True,16,324,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-brazil_c3898758_f47v19762710,True,Move important URLs closer to major crawl paths.,7,"BRAZIL PET SOCCER JERSEYS, SCARVES, AND TOYS | CHEWY",52,"Shop Brazil dog & cat soccer jerseys, scarves & toys at Chewy. Find officially licensed FIFA pet fan gear & cheer on A Seleção every match day.",143,,"Brazil Pet Soccer Jerseys, Scarves, and Toys",1,soccer-brazil,True,False,False,False,True,False,False,True,16,323,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-canada_c3898758_f47v19762718,True,Move important URLs closer to major crawl paths.,7,CANADA PET SOCCER JERSEYS & SCARVES | CHEWY,43,Shop Canada dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on The Canucks every match day.,139,,Canada Pet Soccer Jerseys & Scarves,1,soccer-canada,True,False,False,False,True,False,False,True,16,322,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-mexico_c3898758_f47v19762686,True,Move important URLs closer to major crawl paths.,7,"MEXICO PET SOCCER JERSEYS, SCARVES, AND TOYS | CHEWY",52,"Shop Mexico dog & cat soccer jerseys, scarves & toys at Chewy. Find officially licensed FIFA pet fan gear & cheer on El Tri every match day.",140,,"Mexico Pet Soccer Jerseys, Scarves, and Toys",1,soccer-mexico,True,False,False,False,True,False,False,True,16,322,7,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-argentina_c3898758_f47v19762694,True,Move important URLs closer to major crawl paths.,7,ARGENTINA PET SOCCER JERSEYS & SCARVES | CHEWY,46,Shop Argentina dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on La Albiceleste every match day.,145,,Argentina Pet Soccer Jerseys & Scarves,1,soccer-argentina,True,False,False,False,True,False,False,True,16,321,7,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-england_c3898758_f47v19762726,True,Move important URLs closer to major crawl paths.,7,ENGLAND PET SOCCER JERSEYS & SCARVES | CHEWY,44,Shop England dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on the Three Lions every match day.,144,,England Pet Soccer Jerseys & Scarves,1,soccer-england,True,False,False,False,True,False,False,True,16,321,7,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-france_c3898758_f47v19762734,True,Move important URLs closer to major crawl paths.,7,FRANCE PET SOCCER JERSEYS & SCARVES | CHEWY,43,Shop France dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on Les Bleus every match day.,137,,France Pet Soccer Jerseys & Scarves,1,soccer-france,True,False,False,False,True,False,False,True,16,321,7,,,,,,,,,,,,,,2.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-germany_c3898758_f47v19762742,True,Move important URLs closer to major crawl paths.,7,GERMANY PET SOCCER JERSEYS & SCARVES | CHEWY,44,Shop Germany dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on the Nationalelf every match day.,144,,Germany Pet Soccer Jerseys & Scarves,1,soccer-germany,True,False,False,False,True,False,False,True,16,321,7,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-spain_c3898758_f47v19764094,True,Move important URLs closer to major crawl paths.,7,SPAIN PET SOCCER JERSEYS & SCARVES | CHEWY,42,Shop Spain dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on La Roja every match day.,134,,Spain Pet Soccer Jerseys & Scarves,1,soccer-spain,True,False,False,False,True,False,False,True,16,321,7,,,,,,,,,,,,,,
